Length,Curl,KinkIndex,NumberKink,TotalKinkAngle,Width
 0.068,  0.00,  0.00,0,  0.00,     0
 0.386,  0.02,  0.00,0,  0.00,    26
 0.086,  0.00,  0.00,0,  0.00,     0
 0.100,  0.00,  0.00,0,  0.00,     0
 0.153,  0.03,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.152,  0.08,  0.00,0,  0.00,     0
 0.845,  0.06,  4.73,2, 51.23,    81
 0.508,  0.02,  0.00,0,  0.00,    17
 0.041,  0.00,  0.00,0,  0.00,     0
 0.425,  0.10,  0.00,0,  0.00,    17
 0.054,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.356,  0.03,  0.00,0,  0.00,    39
 0.251,  0.03,  0.00,0,  0.00,    13
 0.330,  0.02,  0.00,0,  0.00,    28
 0.188,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.187,  0.06,  0.00,0,  0.00,     0
 0.631,  0.02,  0.00,0,  0.00,    25
 0.905,  0.02,  0.00,0,  0.00,    20
 0.171,  0.04,  0.00,0,  0.00,     0
 0.275,  0.02,  0.00,0,  0.00,    40
 0.086,  0.00,  0.00,0,  0.00,     0
 0.041,  0.00,  0.00,0,  0.00,     0
 0.236,  0.03,  0.00,0,  0.00,     0
 0.162,  0.05,  0.00,0,  0.00,     0
 0.128,  0.00,  0.00,0,  0.00,     0
 0.185,  0.40,  0.00,0,  0.00,    45
 0.284,  0.36,  0.00,0,  0.00,    19
 0.210,  0.03,  0.00,0,  0.00,    17
 0.101,  0.00,  0.00,0,  0.00,     0
 0.897,  0.12,  1.12,1, 22.97,    58
 0.304,  0.03,  0.00,0,  0.00,    26
 0.156,  0.03,  0.00,0,  0.00,     0
 0.169,  0.05,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.172,  0.05,  0.00,0,  0.00,     0
 0.335,  0.04,  0.00,0,  0.00,    34
 0.081,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.276,  1.14,  0.00,0,  0.00,     0
 0.334,  0.02,  0.00,0,  0.00,    20
 0.461,  0.03,  4.34,1, 24.38,    29
 0.674,  0.05,  1.48,1, 21.11,    17
 0.641,  0.04,  3.12,1, 31.50,    20
 0.041,  0.00,  0.00,0,  0.00,     0
